time_bucket,bid_px_00_first,bid_px_00_last,ask_px_00_first,ask_px_00_last,OF1_b_sum,OF1_a_sum,OF2_b_sum,OF2_a_sum,OF3_b_sum,OF3_a_sum,OF4_b_sum,OF4_a_sum,OF5_b_sum,OF5_a_sum,OF6_b_sum,OF6_a_sum,OF7_b_sum,OF7_a_sum,mid_price_start,mid_price_end,return,OFI1,OFI2,OFI3,OFI4,OFI5,OFI6,OFI7,event_count,OFI1_normalized,OFI2_normalized,OFI3_normalized,OFI4_normalized,OFI5_normalized,OFI6_normalized,OFI7_normalized,symbol,OFI_integrated
2024-10-21 12:36:45,233.75,233.87,233.89,233.89,100.0,0.0,281.0,817.0,1487.0,134.0,1809.0,600.0,1413.0,801.0,1535.0,102.0,230.0,700.0,233.82,233.88,0.0002566076469079359,100.0,-536.0,1353.0,1209.0,612.0,1433.0,-470.0,13,7.6923076923076925,-41.23076923076923,104.07692307692308,93.0,47.07692307692308,110.23076923076923,-36.15384615384615,AAPL,0.27036416982617634
2024-10-21 12:37:00,233.87,233.8,233.89,233.86,-49.0,236.0,80.0,538.0,3214.0,549.0,3016.0,338.0,1918.0,817.0,2051.0,918.0,845.0,602.0,233.88,233.83,-0.00021378484693002076,-285.0,-458.0,2665.0,2678.0,1101.0,1133.0,243.0,25,-11.4,-18.32,106.6,107.12,44.04,45.32,9.72,AAPL,0.22486290350091928
2024-10-21 12:37:15,233.8,233.8,233.86,233.86,0.0,0.0,0.0,0.0,3214.0,0.0,3216.0,0.0,1012.0,417.0,1030.0,117.0,220.0,500.0,233.83,233.83,0.0,0.0,0.0,3214.0,3216.0,595.0,913.0,-280.0,9,0.0,0.0,357.1111111111111,357.3333333333333,66.11111111111111,101.44444444444444,-31.11111111111111,AAPL,1.0334135152828339
2024-10-21 12:37:30,233.8,233.8,233.86,233.86,0.0,0.0,0.0,0.0,3414.0,0.0,1609.0,0.0,1011.0,400.0,525.0,0.0,210.0,0.0,233.83,233.83,0.0,0.0,0.0,3414.0,1609.0,611.0,525.0,210.0,8,0.0,0.0,426.75,201.125,76.375,65.625,26.25,AAPL,0.9510252968700074
2024-10-21 12:37:45,233.84,233.84,233.86,233.85,1.0,24.0,1.0,2.0,880.0,2.0,1287.0,128.0,1208.0,4.0,506.0,1651.0,515.0,368.0,233.85000000000002,233.845,-2.1381227282568638e-05,-23.0,-1.0,878.0,1159.0,1204.0,-1145.0,147.0,17,-1.3529411764705883,-0.058823529411764705,51.64705882352941,68.17647058823529,70.82352941176471,-67.3529411764706,8.647058823529411,AAPL,-0.1078436644829089
2024-10-21 12:38:00,233.84,233.8,233.85,233.84,1.0,4.0,1687.0,24.0,1888.0,2.0,3721.0,2.0,2230.0,128.0,1636.0,621.0,750.0,534.0,233.845,233.82,-0.00010690842224547747,-3.0,1663.0,1886.0,3719.0,2102.0,1015.0,216.0,19,-0.15789473684210525,87.52631578947368,99.26315789473684,195.73684210526315,110.63157894736842,53.421052631578945,11.368421052631579,AAPL,0.6608825137775385
2024-10-21 12:38:15,233.8,233.7,233.84,233.8,1207.0,173.0,202.0,266.0,4127.0,160.0,3081.0,158.0,1065.0,432.0,685.0,556.0,690.0,1370.0,233.82,233.75,-0.00029937558805914755,1034.0,-64.0,3967.0,2923.0,633.0,129.0,-680.0,41,25.21951219512195,-1.5609756097560976,96.7560975609756,71.29268292682927,15.439024390243903,3.1463414634146343,-16.585365853658537,AAPL,-0.005985454884195734
2024-10-21 12:38:30,233.7,233.7,233.8,233.8,2704.0,128.0,4945.0,132.0,4463.0,132.0,3650.0,132.0,2156.0,28.0,1670.0,658.0,1085.0,2085.0,233.75,233.75,0.0,2576.0,4813.0,4331.0,3518.0,2128.0,1012.0,-1000.0,44,58.54545454545455,109.38636363636364,98.43181818181819,79.95454545454545,48.36363636363637,23.0,-22.727272727272727,AAPL,0.30090618007219366
2024-10-21 12:38:45,233.7,233.7,233.79,233.79,0.0,12.0,1.0,20.0,1105.0,128.0,515.0,4.0,110.0,128.0,115.0,4.0,115.0,424.0,233.745,233.745,0.0,-12.0,-19.0,977.0,511.0,-18.0,111.0,-309.0,6,-2.0,-3.1666666666666665,162.83333333333334,85.16666666666667,-3.0,18.5,-51.5,AAPL,-0.01815293994564012
2024-10-21 12:39:00,233.7,233.7,233.79,233.8,1467.0,12.0,2744.0,128.0,3892.0,4.0,2115.0,128.0,1621.0,4.0,1835.0,1017.0,750.0,36.0,233.745,233.75,2.1390831889345208e-05,1455.0,2616.0,3888.0,1987.0,1617.0,818.0,714.0,21,69.28571428571429,124.57142857142857,185.14285714285714,94.61904761904762,77.0,38.95238095238095,34.0,AAPL,0.6936089078225046
